,marketplace,title,price,sold,city,link,extraction_date
14,blibli,VGA ASUS DUAL GeForce RTX 2060 O6G EVO GDDR6 HDMI DVI-D - ASUS DUAL RTX2060 6GB GDDR6,Rp12.880.000,,"Kota Surabaya, Jawa Timur",https://www.blibli.com/p/vga-asus-dual-geforce-rtx-2060-o6g-evo-gddr6-hdmi-dvi-d-asus-dual-rtx2060-6gb-gddr6/ps--PRT-60028-02053?ds=PRT-60028-02053-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3056093&pid=PRT-60028-02053,2021-10-26
15,blibli,VGA INNO3D RTX2060 TWIN X2 6GB DDR6 192BIT (GARANSI RESMI 2 TAHUN),Rp12.243.800,,"Kota Medan, Sumatera Utara",https://www.blibli.com/p/vga-inno3d-rtx2060-twin-x2-6gb-ddr6-192bit-garansi-resmi-2-tahun/ps--HOA-70019-00348?ds=HOA-70019-00348-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3200954&pid=HOA-70019-00348,2021-10-26
16,blibli,MSi RTX 2060 Ventus XS 6G OC Graphic Card,Rp11.950.000,,"Kota Surabaya, Jawa Timur",https://www.blibli.com/p/msi-rtx-2060-ventus-xs-6g-oc-graphic-card/ps--PRT-60028-01405?ds=PRT-60028-01405-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3056093&pid=PRT-60028-01405,2021-10-26
17,blibli,"HP Pavilion Gaming 15-DK1064TX [Core i5-10300H/8GB/512GB SSD/VGA 6GB/15.6""/Windows 10/Black]",Rp15.600.000,,"Kota Jakarta Barat, DKI Jakarta",https://www.blibli.com/p/hp-pavilion-gaming-15-dk1064tx-core-i5-10300h-8gb-512gb-ssd-vga-6gb-15-6-windows-10-black/ps--JDC-70000-00101?ds=JDC-70000-00101-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3149066&pid=JDC-70000-00101,2021-10-26
18,blibli,VGA NVIDIA GEFORCE GIGABYTE RTX 2060 6 GB 2 FAN NVIDIA RTX 2060 GIGABYTE 6GB,Rp11.000.000,,"Kota Palembang, Sumatera Selatan",https://www.blibli.com/p/vga-nvidia-geforce-gigabyte-rtx-2060-6-gb-2-fan-nvidia-rtx-2060-gigabyte-6gb/ps--RPK-70000-00007?ds=RPK-70000-00007-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3272743&pid=RPK-70000-00007&tag=new,2021-10-26
19,blibli,Unik VGA Gigabyte Geforce RTX2060 6GB - RTX 2060 OC 6 GB GDDR6 Diskon,Rp13.975.000,,"Kab. Sidoarjo, Jawa Timur",https://www.blibli.com/p/unik-vga-gigabyte-geforce-rtx2060-6gb-rtx-2060-oc-6-gb-gddr6-diskon/ps--MAE-70232-01960?ds=MAE-70232-01960-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3248083&pid=MAE-70232-01960,2021-10-26
20,blibli,VGA Colorful Geforce RTX 2060 NB-V 6GB - 6 GB GDDR,Rp11.798.000,,"Kota Bandung, Jawa Barat",https://www.blibli.com/p/vga-colorful-geforce-rtx-2060-nb-v-6gb-6-gb-gddr/ps--ASC-70002-01095?ds=ASC-70002-01095-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3235354&pid=ASC-70002-01095,2021-10-26
21,blibli,New VGA Gigabyte GeForce RTX 2060 D6 6GB GDDR6 GV-N2060D6-6GD,Rp11.010.000,,"Kota Jakarta Barat, DKI Jakarta",https://www.blibli.com/p/new-vga-gigabyte-geforce-rtx-2060-d6-6gb-gddr6-gv-n2060d6-6gd/ps--GUK-43901-00629?ds=GUK-43901-00629-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3014494&pid=GUK-43901-00629,2021-10-26
22,blibli,VGA ZOTAC GAMING GeForce RTX 2060 |6GB|GDDR6|Dual Fan,Rp11.500.000,,"Kab. Jombang, Jawa Timur",https://www.blibli.com/p/vga-zotac-gaming-geforce-rtx-2060-6gb-gddr6-dual-fan/ps--JOR-60024-00635?ds=JOR-60024-00635-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3075869&pid=JOR-60024-00635,2021-10-26
23,blibli,VGA Gigabyte GeForce RTX 2060 D6 6GB GDDR6 GV-N2060D6-6GD,Rp11.300.000,,"Kota Batam, Kepulauan Riau",https://www.blibli.com/p/vga-gigabyte-geforce-rtx-2060-d6-6gb-gddr6-gv-n2060d6-6gd/ps--HYC-57679-00170?ds=HYC-57679-00170-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3020507&pid=HYC-57679-00170,2021-10-26
24,blibli,Jual VGA Colorful Geforce RTX 2060 NB-V 6GB - 6 GB GDDR6 Berkualitas,Rp15.340.000,,"Kab. Sidoarjo, Jawa Timur",https://www.blibli.com/p/jual-vga-colorful-geforce-rtx-2060-nb-v-6gb-6-gb-gddr6-berkualitas/ps--MIP-70168-03157?ds=MIP-70168-03157-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3266094&pid=MIP-70168-03157,2021-10-26
25,blibli,Jual VGA Colorful Geforce RTX 2060 NB-V 6GB - 6 GB GDDR6 Limited,Rp13.247.000,,"Kab. Sidoarjo, Jawa Timur",https://www.blibli.com/p/jual-vga-colorful-geforce-rtx-2060-nb-v-6gb-6-gb-gddr6-limited/ps--MAE-70232-01507?ds=MAE-70232-01507-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3248083&pid=MAE-70232-01507,2021-10-26
26,blibli,Dijual VGA ASUS DUAL GeForce RTX 2060 O6G EVO GDDR6 HDMI DVI-D - ASUS RTX2060 Murah,Rp16.867.500,,"Kab. Sidoarjo, Jawa Timur",https://www.blibli.com/p/dijual-vga-asus-dual-geforce-rtx-2060-o6g-evo-gddr6-hdmi-dvi-d-asus-rtx2060-murah/ps--GON-70023-00457?ds=GON-70023-00457-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3259426&pid=GON-70023-00457,2021-10-26
27,blibli,Unik VGA MSI Geforce RTX 2060 6GB Ventus GP OC - 6 GB DDR6 Murah,Rp16.445.000,,"Kab. Sidoarjo, Jawa Timur",https://www.blibli.com/p/unik-vga-msi-geforce-rtx-2060-6gb-ventus-gp-oc-6-gb-ddr6-murah/ps--MIP-70168-03181?ds=MIP-70168-03181-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3266094&pid=MIP-70168-03181,2021-10-26
28,blibli,Promo VGA MSI Geforce RTX 2060 6GB Gaming - Gaming Z 6 GB DDR6 Diskon,Rp16.900.000,,"Kab. Sidoarjo, Jawa Timur",https://www.blibli.com/p/promo-vga-msi-geforce-rtx-2060-6gb-gaming-gaming-z-6-gb-ddr6-diskon/ps--MAE-70232-01631?ds=MAE-70232-01631-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3248083&pid=MAE-70232-01631,2021-10-26
29,blibli,VGA Inno3D Geforce RTX 2060 Twin X2 | 6GB GDDR6 | 192 Bit | Dual Fan,Rp10.500.000,,"Kota Bandung, Jawa Barat",https://www.blibli.com/p/vga-inno3d-geforce-rtx-2060-twin-x2-6gb-gddr6-192-bit-dual-fan/ps--FSC-70001-00367?ds=FSC-70001-00367-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3191886&pid=FSC-70001-00367&tag=new,2021-10-26
30,blibli,Unik Mining Rig RTX 2060 x6 Mesin Penambang Crypto - ETH BTC BNB Diskon,,,"Kab. Sidoarjo, Jawa Timur",https://www.blibli.com/p/unik-mining-rig-rtx-2060-x6-mesin-penambang-crypto-eth-btc-bnb-diskon/ps--MAE-70232-04745?ds=MAE-70232-04745-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3248083&pid=MAE-70232-04745,2021-10-26
31,blibli,Gigabyte VGA GeForce RTX™ 2060 D6 6G GV-N2060D6-6GD,Rp13.242.000,,"Kota Jakarta Utara, DKI Jakarta",https://www.blibli.com/p/gigabyte-vga-geforce-rtx-2060-d6-6g-gv-n2060d6-6gd/ps--MYB-70013-00280?ds=MYB-70013-00280-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3203942&pid=MYB-70013-00280,2021-10-26
32,blibli,MSi RTX 2060 GAMING Z 6G VGA,Rp10.150.000,,"Kota Bandung, Jawa Barat",https://www.blibli.com/p/msi-rtx-2060-gaming-z-6g-vga/ps--DMC-70002-00144?ds=DMC-70002-00144-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3180737&pid=DMC-70002-00144,2021-10-26
33,blibli,VGA Colorful NB V RTX2060 - 6GB [192bit-HDMI-DP-DVI-2xFan],,,"Kota Yogyakarta, DI Yogyakarta",https://www.blibli.com/p/vga-colorful-nb-v-rtx2060-6gb-192bit-hdmi-dp-dvi-2xfan/ps--ELC-53809-02674?ds=ELC-53809-02674-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=true&pickupPointCode=PP-3080858&pid=ELC-53809-02674,2021-10-26
34,blibli,,,,"Kab. Sleman, DI Yogyakarta",https://www.blibli.com/p/lenovo-legion-7-81yu006cid-laptop-gaming-core-i7-10875h-16gb-1tb-ssd-vga-6gb-15-6-win-10-home/ps--KAK-60022-00639?ds=KAK-60022-00639-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=true&pickupPointCode=PP-3022683&pid=KAK-60022-00639,2021-10-26
35,blibli,MSI Notebook Creator 17 A10SE [9S7-17G312-411],Rp40.999.000,,"Kab. Bekasi, Jawa Barat",https://www.blibli.com/p/msi-notebook-creator-17-a10se-9s7-17g312-411/ps--GIG-60024-01004?ds=GIG-60024-01004-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3083833&pid=GIG-60024-01004,2021-10-26
