,marketplace,title,price,sold,city,link,extraction_date
188,tokopedia,VGA ASUS - DUAL-RTX2060-O6G / DUAL RTX 2060 6 GB,Rp11.350.000,,Jakarta Barat,https://www.tokopedia.com/chandut/vga-asus-dual-rtx2060-o6g-dual-rtx-2060-6-gb?whid=0,2021-10-26
189,tokopedia,Gigabyte VGA GeForce Rtx 2060 D6 6G GV-N2060D6-6GD - VERSI OC,Rp11.499.000,Terjual 1,Jakarta Pusat,https://www.tokopedia.com/computeronline/gigabyte-vga-geforce-rtx-2060-d6-6g-gv-n2060d6-6gd-versi-oc?whid=0,2021-10-26
190,tokopedia,BL19149 VGA Zotac GeForce RTX 2060 6GB DDR6 AMP Edition Original Resmi,Rp9.960.000,,Kota Bekasi,https://www.tokopedia.com/jari-jemari/bl19149-vga-zotac-geforce-rtx-2060-6gb-ddr6-amp-edition-original-resmi?whid=0,2021-10-26
191,tokopedia,VGA Asus GeForce RTX 2060 SUPER 8GB DDR6 - Strix Gaming,Rp8.776.900,,Jakarta Barat,https://www.tokopedia.com/reviewgd/vga-asus-geforce-rtx-2060-super-8gb-ddr6-strix-gaming?whid=0,2021-10-26
192,tokopedia,TerLaris PC GAMING ASUS ROG CORE I9 9900K VGA RTX 2060 8GB,Rp35.501.000,,Kab. Bandung,https://www.tokopedia.com/nabilashope3/terlaris-pc-gaming-asus-rog-core-i9-9900k-vga-rtx-2060-8gb?whid=0,2021-10-26
193,tokopedia,VGA Card Asus NVIDIA RTX 2060 SUPER STRIX ADVANCE OC 8GB DDR6,Rp8.775.000,,Kota Yogyakarta,https://www.tokopedia.com/burhangalerybaru/vga-card-asus-nvidia-rtx-2060-super-strix-advance-oc-8gb-ddr6?whid=0,2021-10-26
194,tokopedia,VGA MSI GEFORCE GT 1030 2GB OC EDITION NOT RTX 2060 GTX 1660 RX 580,Rp2.250.000,,Kota Bekasi,https://www.tokopedia.com/tokomonyet/vga-msi-geforce-gt-1030-2gb-oc-edition-not-rtx-2060-gtx-1660-rx-580?whid=0,2021-10-26
195,tokopedia,VGA Colorful GeForce RTX 2060 NB-V - 6GB GDDR6,Rp10.890.000,Terjual 23,Kota Tasikmalaya,https://www.tokopedia.com/eseskomputer/vga-colorful-geforce-rtx-2060-nb-v-6gb-gddr6?whid=0,2021-10-26
196,tokopedia,VGA ASUS DUAL RTX 2060 6GB,Rp13.350.000,,Jakarta Pusat,https://www.tokopedia.com/one-komp/vga-asus-dual-rtx-2060-6gb?whid=0,2021-10-26
197,tokopedia,VGA ASUS RTX 2060 ROG STRIX GAMING OC 6GB DDR6,Rp14.850.000,,Jakarta Pusat,https://www.tokopedia.com/yeskomputerofficial/vga-asus-rtx-2060-rog-strix-gaming-oc-6gb-ddr6?whid=0,2021-10-26
